option_id,color,mileage,engine_type,fuel_type
OP6271,Black,21 km/l,2.8L Turbo Diesel,Diesel
OP3171,Brown,15 km/l,3.0L Twin-Turbo Flat-6,Electric
OP7546,Blue,20 km/l,3.0L Turbo Diesel,Petrol
OP1734,Brown,500 km (range),3.0L Twin-Turbo Flat-6,Electric
OP5235,Grey,12 km/l,2.4L Diesel,Petrol/Diesel
OP8864,Red,452 km (range),1.5L K15 Smart Hybrid,Diesel/Petrol
OP9998,Black,312 km (range),5.2L V10,Diesel/Petrol
OP6003,Brown,13 km/l,2.2L Turbo Diesel,Diesel/Petrol
OP2176,Blue,19 km/l,5.2L V10,Petrol/Diesel
OP1926,Red,14 km/l,2.2L Turbo Diesel,Petrol-Hybrid
OP3238,Brown,500 km (range),2.4L Diesel,Electric
OP3828,Silver,452 km (range),5.2L V10,Petrol/Diesel
OP1162,Red,13 km/l,2.5L Diesel,Petrol
OP9921,White,9 km/l,2.8L Turbo Diesel,Petrol-Hybrid
OP8803,Yellow,18 km/l,3.0L Turbo Diesel,Petrol
OP4393,Blue,452 km (range),2.4L Diesel,Electric
OP4147,Grey,18 km/l,2.2L Turbo Diesel,Petrol-Hybrid
OP6348,Blue,17 km/l,1.0L SCe Petrol,Diesel/Petrol
OP1800,Brown,9 km/l,2.5L Diesel,Diesel
OP3297,Black,13 km/l,2.0L Bi-Turbo Diesel,Diesel
OP3375,Grey,20 km/l,1.5L Turbo Petrol,Diesel/Petrol
OP5836,White,312 km (range),1.0L SCe Petrol,Electric
OP3842,Brown,452 km (range),1.2L Turbo Petrol,Diesel
OP4724,Black,419 km (range),2.0L Bi-Turbo Diesel,Petrol
OP8622,White,312 km (range),2.5L Diesel,Diesel
OP4590,Blue,12 km/l,2.0L Kryotec Diesel,Diesel
OP9374,Black,17 km/l,1.5L K15 Smart Hybrid,Diesel/Petrol
OP8691,White,312 km (range),3.0L Twin-Turbo Inline-6,Petrol/Diesel
OP5450,Yellow,7 km/l,Dual Motor Electric,Petrol
OP6727,Black,18 km/l,Electric Motor,Diesel/Petrol
OP2475,Red,500 km (range),3.8L Twin-Turbo V6,Petrol/Diesel
OP1158,Silver,312 km (range),Dual Motor Electric,Petrol/Diesel
OP9204,Red,419 km (range),2.0L Kryotec Diesel,Diesel/Petrol
OP8717,Brown,419 km (range),1.5L K15 Smart Hybrid,Petrol
OP4951,Brown,312 km (range),Electric Motor,Petrol/Diesel
OP9400,Black,452 km (range),1.5L i-VTEC Petrol,Diesel/Petrol
OP9205,Yellow,18 km/l,2.0L Kryotec Diesel,Diesel
OP5351,Red,20 km/l,2.2L Turbo Diesel,Petrol/Diesel
OP8380,Silver,17 km/l,3.0L Twin-Turbo Flat-6,Petrol-Hybrid
OP8978,Grey,13 km/l,Dual Motor Electric,Petrol/Diesel
OP6051,Red,19 km/l,1.0L Turbo Petrol,Petrol-Hybrid
OP3897,Silver,7 km/l,Dual Motor Electric,Petrol/Diesel
OP9520,Grey,16 km/l,3.0L Twin-Turbo Inline-6,Diesel/Petrol
OP7422,Red,9 km/l,1.5L Turbo Diesel,Petrol/Diesel
OP3333,Grey,22 km/l,2.0L Bi-Turbo Diesel,Petrol/Diesel
OP3958,Black,452 km (range),1.0L Turbo Petrol,Electric
OP2031,Brown,20 km/l,5.2L V10,Petrol-Hybrid
OP4785,Yellow,419 km (range),2.0L Kryotec Diesel,Petrol/Diesel
OP3542,Brown,20 km/l,5.2L V10,Diesel/Petrol
OP2123,Silver,500 km (range),Dual Motor Electric,Electric
